state,substate,state_fips,county_fips,geography,closing_of_public_venues,gathering_size_10_0,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_500_to_101,lockdown,non-essential_services_closure,Other,religious_gatherings_banned,school_closure,shelter_in_place,social_distancing,nyt_effective_date,crwd_business_closed,crwd_college_closed,crwd_lockdown,crwd_religion_closed,crwd_school_closed,hikma_event_date,hikma_school_date,hikma_shelter_date,hikma_shelter_enforcement_date,hikma_testing_date,hikma_transport_date,hikma_work_date,effective_date_sip,source_sip,effective_date_business,source_business
Tennessee,Shelby,47,47157,county,03/25,03/25,NA,NA,NA,NA,03/25,NA,03/25,03/13,03/25,03/25,03/24,NA,NA,NA,NA,NA,NA,04/23,03/26,03/23,NA,NA,03/23,03/24,nyt,03/25,keystone_cpv
Tennessee,Sumner,47,47165,county,03/24,03/20,NA,NA,NA,NA,03/24,NA,03/24,03/23,03/23,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,keystone_sip,03/24,keystone_cpv
Tennessee,Williamson,47,47187,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/31,03/14,04/02,03/09,03/06,03/23,03/06,04/01,NA,04/18,NA,03/23,03/25,nyt,03/31,crwd_business
Tennessee,Wilson,47,47189,county,NA,04/01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,03/14,04/02,03/14,03/03,03/22,03/16,04/24,NA,04/18,NA,04/28,04/02,crwd_lockdown,03/31,crwd_business
Tennessee,NA,47,NA,state,03/23,03/23,NA,NA,NA,NA,03/23,NA,03/23,03/16,04/02,NA,03/31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/02,manual,03/23,keystone_cpv
Texas,Bexar,48,48029,county,03/23,03/19,03/18,NA,03/13,NA,03/23,NA,03/23,03/13,03/24,03/18,03/24,03/24,03/16,03/24,03/24,03/12,03/19,03/13,03/23,NA,04/10,04/06,03/23,03/24,nyt,03/23,keystone_cpv
Texas,Brazoria,48,48039,county,03/23,03/26,NA,NA,NA,NA,03/26,NA,03/26,NA,03/26,03/26,03/26,03/26,04/10,03/25,03/31,03/16,05/01,03/26,03/26,NA,NA,NA,03/26,03/26,nyt,03/23,keystone_cpv
Texas,Brazos,48,48041,county,03/24,03/24,NA,NA,NA,NA,03/24,NA,03/24,NA,03/24,03/24,NA,NA,NA,NA,NA,NA,03/24,03/16,03/24,NA,NA,NA,03/24,03/24,keystone_sip,03/24,keystone_cpv
Texas,Collin,48,48085,county,03/24,NA,03/16,NA,03/18,NA,NA,NA,NA,03/16,03/24,03/24,03/24,03/18,03/19,03/24,03/15,03/18,03/19,03/23,03/24,NA,03/16,NA,03/31,03/24,nyt,03/24,keystone_cpv
Texas,Dallas,48,48113,county,03/16,03/18,03/16,NA,03/13,NA,03/21,NA,03/24,03/16,03/24,03/16,03/23,03/23,NA,03/23,NA,03/16,03/31,03/20,03/31,NA,04/10,NA,03/31,03/23,nyt,03/16,keystone_cpv
Texas,Denton,48,48121,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,04/07,03/16,03/24,04/08,03/16,03/24,03/16,03/24,03/24,03/20,NA,03/24,03/25,nyt,04/07,crwd_business
Texas,El Paso,48,48141,county,03/24,03/24,NA,NA,NA,NA,03/24,NA,NA,NA,03/24,03/24,03/24,NA,NA,NA,NA,NA,03/16,03/15,03/24,03/24,03/23,NA,03/24,03/24,nyt,03/24,keystone_cpv
Texas,Fort Bend,48,48157,county,03/18,03/25,NA,NA,NA,NA,03/21,NA,03/25,03/16,03/25,NA,03/25,03/17,03/19,03/24,03/31,04/14,04/02,03/16,04/02,03/20,03/26,NA,03/20,03/25,nyt,03/18,keystone_cpv
Texas,Galveston,48,48167,county,03/24,03/24,NA,NA,NA,NA,03/24,NA,03/24,03/16,03/24,03/24,03/24,NA,NA,NA,NA,NA,03/17,03/25,04/24,03/17,04/09,NA,03/24,03/24,nyt,03/24,keystone_cpv
Texas,Harris,48,48201,county,03/24,03/19,NA,NA,NA,NA,03/24,NA,03/24,03/24,03/24,03/16,03/24,03/24,03/09,03/24,NA,03/13,03/24,03/24,03/20,03/24,NA,03/30,03/24,03/24,nyt,03/24,keystone_cpv
Texas,Hidalgo,48,48215,county,03/22,03/22,NA,NA,NA,NA,03/22,NA,03/22,NA,03/26,03/26,03/25,NA,NA,NA,NA,NA,03/26,03/17,03/26,03/24,NA,NA,03/26,03/25,nyt,03/22,keystone_cpv
Texas,Lubbock,48,48303,county,03/20,03/20,NA,NA,NA,NA,04/02,NA,NA,NA,04/02,NA,03/29,03/23,03/12,03/29,03/20,03/12,03/23,03/20,03/29,03/23,03/20,NA,03/23,03/29,nyt,03/20,keystone_cpv
Texas,Montgomery,48,48339,county,03/18,03/27,NA,NA,NA,NA,03/27,NA,03/27,NA,03/27,03/27,NA,NA,NA,NA,NA,NA,03/27,03/16,03/27,NA,04/04,NA,03/27,03/27,keystone_sip,03/18,keystone_cpv
