state,substate,state_fips,county_fips,geography,closing_of_public_venues,gathering_size_10_0,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_500_to_101,lockdown,non-essential_services_closure,Other,religious_gatherings_banned,school_closure,shelter_in_place,social_distancing,nyt_effective_date,crwd_business_closed,crwd_college_closed,crwd_lockdown,crwd_religion_closed,crwd_school_closed,hikma_event_date,hikma_school_date,hikma_shelter_date,hikma_shelter_enforcement_date,hikma_testing_date,hikma_transport_date,hikma_work_date,effective_date_sip,source_sip,effective_date_business,source_business
NA,NA,37,37025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,effective_date_sip
NA,NA,37,37071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,effective_date_sip
NA,NA,37,37087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,effective_date_sip
NA,NA,37,37115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,effective_date_sip
NA,NA,37,37135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,03/27,03/14,03/27,03/14,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,crwd_business
NA,NA,37,37147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,NA,NA,NA,NA,NA,03/24,03/16,03/25,NA,NA,NA,03/25,NA,NA,03/25,hikma_work
NA,NA,40,40119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,NA,NA,NA,NA,NA,NA,04/06,NA,NA,04/06,NA,NA,NA,NA,03/30,effective_date_sip
NA,NA,40,40131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/06,NA,NA,NA,NA,NA,NA,04/06,NA,NA,04/07,NA,NA,NA,NA,04/06,effective_date_sip
NA,NA,40,40135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/04,effective_date_sip
NA,NA,42,42025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,effective_date_sip
NA,NA,42,42027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/28,NA,NA,NA,NA,NA,NA,03/20,03/28,NA,NA,03/20,03/29,NA,NA,03/29,hikma_work
NA,NA,42,42041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,03/17,03/07,03/30,03/15,03/14,03/30,03/14,03/30,NA,03/31,NA,04/19,NA,NA,03/17,crwd_business
NA,NA,42,42049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,NA,NA,NA,NA,03/12,03/16,03/24,NA,04/28,NA,03/17,NA,NA,03/17,hikma_work
NA,NA,42,42125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/28,03/19,03/23,04/01,03/17,03/14,03/28,03/16,03/23,NA,03/16,NA,03/21,NA,NA,03/19,crwd_business
NA,NA,48,48027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,NA,NA,NA,NA,NA,03/18,03/18,03/18,03/18,NA,NA,04/30,NA,NA,04/30,hikma_work
NA,NA,48,48061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,NA,NA,NA,NA,NA,03/22,03/19,03/22,03/22,03/30,NA,03/22,NA,NA,03/22,hikma_work
NA,NA,48,48071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,effective_date_sip
NA,NA,48,48139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,effective_date_sip
NA,NA,48,48183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,effective_date_sip
NA,NA,48,48203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,effective_date_sip
NA,NA,48,48209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,NA,NA,NA,NA,NA,03/20,03/16,03/26,NA,NA,NA,03/26,NA,NA,03/26,hikma_work
NA,NA,48,48231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,effective_date_sip
NA,NA,48,48257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,effective_date_sip
NA,NA,48,48291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,effective_date_sip
NA,NA,48,48309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,NA,NA,NA,NA,NA,03/23,03/19,03/23,03/23,03/13,03/23,03/23,NA,NA,03/23,hikma_work
NA,NA,48,48347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,effective_date_sip
NA,NA,48,48355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,03/18,03/12,03/25,03/18,03/18,03/26,03/12,03/26,03/26,NA,NA,03/26,NA,NA,03/18,crwd_business
NA,NA,48,48373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,effective_date_sip
NA,NA,48,48375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,effective_date_sip
NA,NA,48,48395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,effective_date_sip
NA,NA,48,48397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,effective_date_sip
NA,NA,48,48407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,effective_date_sip
NA,NA,48,48415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,effective_date_sip
NA,NA,48,48423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,NA,NA,NA,NA,NA,03/19,03/27,03/27,NA,NA,NA,03/27,NA,NA,03/27,hikma_work
NA,NA,48,48427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,effective_date_sip
NA,NA,48,48485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,effective_date_sip
NA,NA,48,48489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,effective_date_sip
NA,NA,48,48491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/25,03/14,03/25,03/13,03/05,03/16,03/18,03/24,03/26,04/30,NA,03/24,NA,NA,03/25,crwd_business
NA,NA,56,56039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/28,effective_date_sip
NA,NA,01,01001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/28,03/13,04/04,03/09,03/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/28,crwd_business
NA,NA,01,01125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/28,03/14,04/04,03/09,03/18,03/16,03/27,04/03,NA,04/24,NA,03/27,NA,NA,03/28,crwd_business
NA,NA,06,06023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/19,03/17,03/19,03/18,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/19,crwd_business
NA,NA,06,06045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,03/20,03/18,03/09,03/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,crwd_business
NA,NA,06,06047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,03/18,03/20,03/16,03/19,03/13,03/19,03/20,04/08,05/04,NA,03/20,NA,NA,03/20,crwd_business
NA,NA,06,06055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/16,03/19,03/18,03/14,03/18,03/18,03/18,NA,04/24,NA,03/18,NA,NA,03/17,crwd_business
NA,NA,06,06087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/16,03/17,03/17,03/11,03/16,03/16,03/16,04/12,NA,NA,03/16,NA,NA,03/17,crwd_business
NA,NA,06,06089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/13,03/19,03/12,03/16,03/19,03/17,03/19,NA,NA,NA,03/19,NA,NA,03/12,crwd_business
NA,NA,06,06095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/16,03/19,03/22,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,crwd_business
NA,NA,06,06113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/19,03/16,03/19,03/17,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/19,crwd_business
NA,NA,08,08107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,03/12,03/26,03/13,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,crwd_business
NA,NA,08,08117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/13,03/27,03/13,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,crwd_business
NA,NA,09,09011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/12,03/24,03/14,03/13,03/12,03/13,03/23,NA,NA,NA,03/23,NA,NA,03/21,crwd_business
NA,NA,09,09015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/15,03/23,03/15,03/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,crwd_business
NA,NA,15,15001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/10,03/23,03/24,03/16,03/18,03/25,03/19,03/25,NA,03/27,NA,03/25,NA,NA,04/10,crwd_business
NA,NA,15,15009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/12,03/25,03/12,03/19,03/17,03/15,03/25,03/28,04/15,04/06,03/17,NA,NA,03/16,crwd_business
NA,NA,19,19157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/14,NA,03/14,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,crwd_business
NA,NA,19,19169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/23,NA,03/14,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,crwd_business
NA,NA,17,17019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/14,03/21,03/14,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,crwd_business
NA,NA,17,17143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/13,03/21,03/21,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,crwd_business
NA,NA,17,17167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/07,03/21,03/12,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,crwd_business
NA,NA,18,18003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/11,03/23,03/22,03/13,03/25,03/13,03/31,03/24,NA,NA,03/25,NA,NA,03/23,crwd_business
NA,NA,18,18105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/14,03/25,03/18,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,crwd_business
NA,NA,18,18157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/06,03/13,04/06,03/24,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/06,crwd_business
NA,NA,21,21059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/20,03/19,03/12,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,crwd_business
NA,NA,21,21209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/14,03/19,03/19,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,crwd_business
NA,NA,21,21239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/23,03/25,03/12,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,crwd_business
NA,NA,25,25007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/17,03/24,NA,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,25,25019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/12,03/23,NA,03/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,27,27003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,03/18,03/27,03/22,03/18,03/16,03/15,03/27,03/27,NA,03/18,03/27,NA,NA,03/27,crwd_business
NA,NA,27,27035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,03/16,03/27,03/22,03/18,03/16,03/18,03/16,03/16,03/16,NA,03/16,NA,NA,03/27,crwd_business
NA,NA,27,27037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/15,03/25,03/18,03/16,03/27,03/18,03/27,03/27,NA,NA,03/27,NA,NA,03/25,crwd_business
NA,NA,27,27139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,03/11,03/27,03/18,03/08,03/16,03/18,03/16,03/16,NA,NA,03/16,NA,NA,03/27,crwd_business
NA,NA,27,27163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,03/16,03/27,03/15,03/18,03/16,03/18,03/16,03/16,03/30,NA,03/16,NA,NA,03/27,crwd_business
NA,NA,30,30029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,03/23,03/26,03/17,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,crwd_business
NA,NA,30,30063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/28,03/23,03/28,03/22,03/14,03/24,03/24,03/24,03/24,03/24,NA,03/24,NA,NA,03/28,crwd_business
NA,NA,37,37035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,03/13,03/27,03/27,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,crwd_business
NA,NA,37,37051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,03/07,03/30,03/16,03/14,03/27,03/16,03/27,NA,NA,NA,03/17,NA,NA,03/30,crwd_business
NA,NA,37,37133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,03/27,03/27,03/23,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,crwd_business
NA,NA,37,37179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,03/14,03/30,03/16,03/14,03/30,03/16,03/30,NA,NA,NA,03/30,NA,NA,03/30,crwd_business
NA,NA,31,31109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/16,03/26,03/15,03/16,03/25,03/25,03/25,NA,03/24,NA,03/25,NA,NA,03/25,crwd_business
NA,NA,33,33009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,03/12,03/26,03/20,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,crwd_business
NA,NA,34,34009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/15,03/21,03/17,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,crwd_business
NA,NA,35,35028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/13,03/23,04/12,03/13,03/12,03/16,03/19,03/19,04/14,NA,03/24,NA,NA,03/23,crwd_business
NA,NA,35,35049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/23,03/23,03/23,03/23,03/12,03/16,03/19,03/19,03/14,NA,03/24,NA,NA,03/23,crwd_business
NA,NA,32,32007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,03/23,04/01,NA,03/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,crwd_business
NA,NA,36,36047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/11,03/22,03/12,03/14,03/20,03/17,03/20,04/03,04/10,04/10,03/20,NA,NA,03/22,crwd_business
NA,NA,36,36075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/19,03/17,03/14,03/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,crwd_business
NA,NA,36,36081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/19,03/22,03/15,03/14,03/20,03/17,03/20,03/20,04/10,04/10,03/20,NA,NA,03/22,crwd_business
NA,NA,39,39165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/24,03/24,03/24,03/14,03/12,03/17,03/24,NA,NA,NA,04/24,NA,NA,03/24,crwd_business
NA,NA,41,41003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/14,03/23,03/17,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,41,41017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/14,03/23,03/13,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,41,41029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/21,03/23,03/17,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,41,41039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/18,03/23,03/11,03/12,03/23,03/17,03/23,03/23,NA,NA,03/23,NA,NA,03/23,crwd_business
NA,NA,41,41041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/21,03/23,03/17,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,42,42005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/13,04/01,03/18,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,crwd_business
NA,NA,44,44009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,03/07,03/28,03/13,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,crwd_business
NA,NA,45,45003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/01,03/07,04/07,03/17,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/01,crwd_business
NA,NA,47,47059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,03/20,03/31,03/22,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,crwd_business
NA,NA,47,47125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,03/14,04/01,03/09,03/14,03/31,03/19,03/31,NA,03/30,NA,03/31,NA,NA,03/31,crwd_business
NA,NA,47,47179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,03/23,03/31,NA,03/18,03/22,03/18,04/24,04/01,04/19,NA,04/28,NA,NA,03/31,crwd_business
NA,NA,48,48091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/11,03/31,04/04,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,crwd_business
NA,NA,51,51003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/17,03/30,03/17,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,03/24,03/24,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/24,03/23,03/23,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/11,03/30,03/23,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/06,03/30,03/14,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,03/24,03/24,03/16,03/30,03/16,03/30,03/30,NA,NA,03/30,NA,NA,03/24,crwd_business
NA,NA,51,51061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/23,03/24,03/24,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,03/24,03/24,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/14,03/30,03/30,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/30,03/30,03/30,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,03/30,03/22,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/11,03/30,03/13,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/13,03/30,03/23,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,03/24,03/24,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,04/23,03/30,03/15,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/11,03/30,03/23,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/14,NA,03/16,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,crwd_business
NA,NA,51,51155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/23,03/23,03/23,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/23,03/31,03/16,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/18,03/30,03/16,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/23,03/24,03/23,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/11,03/23,03/18,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,crwd_business
