date,dems,reps
Jan 26,0.81,0.72
Jan 29,0.8,0.71
Feb 02,0.84,0.77
Feb 09,0.79,0.76
Feb 26,0.8,0.76
Mar 01,0.85,0.68
Mar 05,0.85,0.73
Mar 09,0.83,0.71
Mar 14,0.89,0.74
Mar 16,0.89,0.79
Mar 20,0.93,0.85
Mar 22,0.93,0.9
Mar 26,0.96,0.89
Mar 30,0.94,0.9
Apr 01,0.95,0.92
